,曲名,収録CD,リリース年,タイアップ、備考,クレジット,タイプ,再生回数,収録回数,再生回数_日付
0,A・RA・SHI,A・RA・SHI | ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ-,1999,フジテレビ系「バレーボールワールドカップ1999」イメージソング,作詞：J&T / 作曲・編曲：馬飼野康二,シングル,677,25,20241110 08:40:26
1,明日に向かって,A・RA・SHI,1999,フジテレビ系ドラマ「Vの嵐」主題歌,作詞：大塚雄三 / 作曲・編曲：馬飼野康二,カップリング,2,1,20241110 08:40:26
2,SUNRISE日本,SUNRISE日本/HORIZON | ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ-,2000,フジテレビ系「プロ野球ニュース2000」テーマソング,作詞：F&T / 作曲：馬飼野康二 / 編曲：CHOKKAKU,シングル,37,7,20241110 08:40:26
3,HORIZON,SUNRISE日本/HORIZON,2000,第31回「春の高校バレー」テーマソング,作詞：TAKESHI / 作曲：谷本新,シングル,14,3,20241110 08:40:26
4,台風ジェネレーション,台風ジェネレーション | ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ-,2000,フジテレビイベント「お台場どっと混む!」テーマソング/ブルボン「プチシリーズ」CMソング,作詞：久保田洋司 / 作曲：馬飼野康二,シングル,38,3,20241110 08:40:26
5,明日に向かって吠えろ,台風ジェネレーション,2000,シドニーオリンピック男子バレーボール最終予選テーマソング,作詞：久世まりあ / 作曲：谷本新 / 編曲：CHOKKAKU,カップリング,1,3,20241110 08:40:26
6,感謝カンゲキ雨嵐,感謝カンゲキ雨嵐 | ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ-,2000,フジテレビ系ドラマ「涙をふいて」オープニングテーマ,作詞：戸沢暢美 / 作曲：馬飼野康二 / 編曲：CHOKKAKU,シングル,302,23,20241110 08:40:26
7,OK!ALL RIGHT!いい恋をしよう,感謝カンゲキ雨嵐,2000,,作詞：久保田洋司 / 作曲：谷本新 / 編曲：CHOKKAKU,カップリング,1,0,20241110 08:40:26
8,君のために僕がいる,君のために僕がいる,2001,森永乳業エスキモー「ピノ」CMソング,作詞：大倉浩平 / 作曲・編曲：馬飼野康二,シングル,217,9,20241110 08:40:26
9,はなさない!,君のために僕がいる,2001,,作詞：牧穂エミ / 作曲・編曲：長岡成貢,カップリング,57,0,20241110 08:40:26
10,時代,時代,2001,日本テレビ系ドラマ「金田一少年の事件簿」主題歌,作詞・作曲：TSUKASA / 編曲：CHOKKAKU,シングル,13,2,20241110 08:40:26
11,恋はブレッキー,時代,2001,TBS系「USO!?ジャパン」テーマソング,作詞：久世まりあ / 作曲：馬飼野康二 / 編曲：CHOKKAKU,カップリング,2,1,20241110 08:40:26
12,DANGAN-LINER,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,,作詞：TAKESHI / 作曲：谷本新 / 編曲：CHOKKAKU,アルバム,0,2,20241110 08:40:26
13,サワレナイ,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,,作詞：戸田暢美 / 作曲・編曲：庄野賢一,アルバム,0,0,20241110 08:40:26
14,愛と勇気とチェリーパイ,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,,作詞：戸田暢美 / 作曲・編曲：岩田雅之,アルバム,0,0,20241110 08:40:26
15,Deepな冒険,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,,作詞：戸田暢美 / 作曲：飯田建彦 / 編曲：CHOKKAKU,アルバム,0,0,20241110 08:40:26
16,helpless,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,,作詞：椎名祐生 / 作曲：ZAKI / 編曲：岩田雅之,アルバム,0,0,20241110 08:40:26
17,Oh Sunday,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,日本テレビ系ドラマ「史上最悪のデート」主題歌,作詞：戸田暢美 / 作曲：守山茂樹 / 編曲：宗像仁志,アルバム,1,0,20241110 08:40:26
18,野性を知りたい,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,ブルボン「プチシリーズ」CMソング,作詞：久保田洋司 / 作曲・編曲：ZAKI,アルバム,0,0,20241110 08:40:26
19,アレルギー,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,,作詞：TAKESHI / 作曲・編曲：岩田雅之,アルバム,0,1,20241110 08:40:26
20,ココロチラリ,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,日本マクドナルド「オイシサの嵐キャンペーン」CMソング,作詞：TAKESHI / 作曲・編曲：原一博,アルバム,0,2,20241110 08:40:26
21,a Day in Our Life,a Day in Our Life | HERE WE GO!,2002,TBS系ドラマ「木更津キャッツアイ」主題歌/映画「木更津キャッツアイ 日本シリーズ」「木更津キャッツアイ ワールドシリーズ」主題歌,作詞・作曲・編曲：SHUN・SHUYA,シングル,517,16,20241110 08:40:26
22,ナイスな心意気,ナイスな心意気 | HERE WE GO!,2002,フジテレビ系アニメ「こちら葛飾区亀有公園前派出所」エンディングテーマ,作詞：戸田暢美 / 作曲：飯田建彦 / 編曲：石塚知生,シングル,35,3,20241110 08:40:26
